"TrialName","ExpCostCondition","AvgExp","AvgTime","AvgReconTime","AvgScore","Acc","MedExp"
"easy_1","Cost10",0.392857142857143,2667.85714285714,2.03571428571429,83.8571428571429,1,0
"easy_1","Cost20",0.551724137931034,3393.96551724138,2.44827586206897,71.5862068965517,0.931034482758621,0
"easy_2","Cost10",0.833333333333333,2795.26666666667,2.09444444444444,79.1,1,0
"easy_2","Cost20",0.793103448275862,3807.1724137931,2.70689655172414,67.551724137931,0.96551724137931,0
"easy_3","Cost10",0.814814814814815,3510.11111111111,2.00617283950617,50.6666666666667,0.703703703703704,0
"easy_3","Cost20",0.833333333333333,5104.63333333333,3.33888888888889,31.7666666666667,0.533333333333333,0
"easy_4","Cost10",0.413793103448276,2907.93103448276,1.94827586206897,84.1724137931034,1,0
"easy_4","Cost20",0.551724137931034,3557,2.48850574712644,74.0344827586207,1,0
"easy_5","Cost10",1.14814814814815,5323.77777777778,3.48765432098765,25.037037037037,0.481481481481481,0
"easy_5","Cost20",0.931034482758621,5088.44827586207,3.60344827586207,27.5862068965517,0.551724137931034,0
"easy_6","Cost10",0.633333333333333,2762.83333333333,1.97777777777778,81.4666666666667,0.966666666666667,0
"easy_6","Cost20",0.551724137931034,2922.93103448276,2.23563218390805,75.2068965517241,0.96551724137931,0
"hard_1","Cost10",1.30769230769231,5303.26923076923,3.66025641025641,13.7692307692308,0.346153846153846,0
"hard_1","Cost20",0.892857142857143,5896.96428571429,3.52380952380952,7.03571428571429,0.25,0
"hard_2","Cost10",1.85185185185185,6157.2962962963,3.57407407407407,0.555555555555556,0.148148148148148,1
"hard_2","Cost20",1.41379310344828,7351.89655172414,4.13218390804598,-0.275862068965517,0.103448275862069,1
"hard_3","Cost10",1.28571428571429,5085.75,3.36309523809524,17.2142857142857,0.392857142857143,1
"hard_3","Cost20",1.13793103448276,6431.51724137931,3.31609195402299,23.0344827586207,0.448275862068966,1
"hard_4","Cost10",1.17857142857143,5074.60714285714,3.63095238095238,6.39285714285714,0.25,0
"hard_4","Cost20",0.961538461538462,6309.07692307692,4.37179487179487,8.73076923076923,0.192307692307692,1
"hard_5","Cost10",1.76,6065.56,4.66666666666667,1.2,0.16,1
"hard_5","Cost20",1,5342.74074074074,4.16666666666667,-10,0,1
"hard_6","Cost10",0.875,4064.75,2.97916666666667,8.45833333333333,0.25,0
"hard_6","Cost20",0.678571428571429,5006.07142857143,3.44642857142857,25.4285714285714,0.428571428571429,0
"moderate_1","Cost10",0.538461538461538,3340.15384615385,2.10897435897436,50.4230769230769,0.653846153846154,0
"moderate_1","Cost20",0.592592592592593,5790.74074074074,3.22222222222222,35.8518518518519,0.592592592592593,0
"moderate_2","Cost10",1.69230769230769,6211.53846153846,3.66666666666667,21.7307692307692,0.5,1
"moderate_2","Cost20",1.03571428571429,5840.64285714286,3.78571428571429,19.25,0.428571428571429,1
"moderate_3","Cost10",0.464285714285714,2142.71428571429,1.73214285714286,84.9642857142857,1,0
"moderate_3","Cost20",0.482758620689655,3918.72413793103,2.62068965517241,74.2758620689655,0.96551724137931,0
"moderate_4","Cost10",0.730769230769231,3985.34615384615,2.58974358974359,57.9230769230769,0.769230769230769,0
"moderate_4","Cost20",0.928571428571429,5458.28571428571,3.55357142857143,35.3928571428571,0.642857142857143,0.5
"moderate_5","Cost10",1.10344827586207,3762.58620689655,2.72413793103448,53.1034482758621,0.793103448275862,0
"moderate_5","Cost20",0.64,3975.84,2.71333333333333,36.24,0.56,0
"moderate_6","Cost10",1.28571428571429,4682.25,3.11904761904762,45.6071428571429,0.75,1
"moderate_6","Cost20",1.13333333333333,6083.23333333333,3.71111111111111,39.3666666666667,0.7,1
