TrialName,TruthIn,SimIn
easy_1,0.42,0.4164
easy_2,0.84,0.841
easy_3,0.38,0.323
easy_4,0.39,0.3959
easy_5,0.34,0.3977
easy_6,0.73,0.7311
hard_1,0.04,0.049
hard_2,0.09,0.0495
hard_3,0.05,0.027
hard_4,0.02,0.0351
hard_5,0.03,0.0261
hard_6,0.01,0.0101
intro_1,0.91,0.9098
intro_2,0.17,0.1515
intro_3,0.15,0.1717
intro_4,0.01,0.0224
intro_5,0.23,0.1639
intro_6,0.76,0.7816
intro_7,0.08,0.07
moderate_1,0.23,0.1902
moderate_2,0.17,0.1927
moderate_3,0.12,0.106
moderate_4,0.23,0.237
moderate_5,0.12,0.1342
moderate_6,0.24,0.1642
